,1. open,2. high,3. low,4. close,5. volume
2026-01-20,429.36,430.725,417.44,419.25,62208186.0
2026-01-16,439.5,447.25,435.2601,437.5,60220551.0
2026-01-15,441.125,445.36,437.65,438.57,49465813.0
2026-01-14,442.81,443.91,434.22,439.2,57259500.0
2026-01-13,450.2,451.81,443.95,447.2,53719214.0
2026-01-12,441.225,454.3,438.0,448.96,61649627.0
2026-01-09,435.945,449.05,430.39,445.01,67331456.0
2026-01-08,427.89,436.89,424.365,435.8,57041094.0
2026-01-07,435.9,438.37,431.29,431.41,59828790.0
2026-01-06,446.38,448.25,428.78,432.96,89093758.0
2026-01-05,447.99,457.5499,444.57,451.67,67940839.0
2026-01-02,457.8,458.34,435.3,438.07,85535406.0
2025-12-31,456.1,456.55,449.3,449.72,49077961.0
2025-12-30,461.09,463.12,453.83,454.43,59238464.0
2025-12-29,469.0,469.4,459.0,459.64,66263033.0
2025-12-26,485.23,489.09,473.82,475.19,58780659.0
2025-12-24,488.48,490.9,476.8,485.4,41285429.0
2025-12-23,489.395,491.97,482.84,485.56,58223633.0
2025-12-22,489.88,498.83,485.33,488.73,86916066.0
2025-12-19,488.12,490.49,474.72,481.2,103305424.0
2025-12-18,478.16,490.86,473.12,483.37,95168446.0
2025-12-17,488.22,495.2799,466.2,467.26,106490405.0
2025-12-16,472.21,491.5,465.83,489.88,107608075.0
2025-12-15,469.44,481.7694,467.66,475.31,114542204.0
2025-12-12,448.09,463.01,441.67,458.96,95656749.0
2025-12-11,448.945,449.2699,440.33,446.89,55979492.0
2025-12-10,446.065,456.88,443.61,451.45,63257475.0
2025-12-09,437.54,452.39,435.7,445.17,62014951.0
2025-12-08,447.445,449.7463,435.25,439.58,68386756.0
2025-12-05,453.03,458.87,451.66,455.0,56427522.0
2025-12-04,449.94,454.63,445.39,454.53,71906488.0
2025-12-03,432.1,447.92,431.11,446.74,87482964.0
2025-12-02,430.81,436.8,422.12,429.24,69336626.0
2025-12-01,425.32,433.6599,425.29,430.14,57463552.0
2025-11-28,426.59,432.93,426.2,430.17,36252861.0
2025-11-26,423.95,426.94,416.89,426.58,63462996.0
